,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
399,58,2,488,0021600457,MISS Love 8' Turnaround Hook Shot,,10:13,4,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:42 PM
400,0,4,489,0021600457,,,10:11,4,5.0,0,0,2561,David West,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,West REBOUND (Off:1 Def:1),4:42 PM
401,5,1,490,0021600457,,,10:05,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,91 - 80,-11,Durant 1' Layup (30 PTS),4:42 PM
402,2,6,491,0021600457,Liggins S.FOUL (P2.T2) (M.Callahan),,10:05,4,4.0,5,1,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,,4:42 PM
403,10,3,492,0021600457,,,10:05,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,92 - 80,-12,Durant Free Throw 1 of 1 (31 PTS),4:42 PM
404,1,2,494,0021600457,MISS Love 26' 3PT Jump Shot,,9:43,4,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:43 PM
405,0,4,495,0021600457,,,9:42,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Durant REBOUND (Off:0 Def:12),4:43 PM
406,79,1,496,0021600457,,,9:35,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,94 - 80,-14,Durant 8' Pullup Jump Shot (33 PTS),4:43 PM
407,1,9,497,0021600457,CAVALIERS Timeout: Regular (Full 5 Short 1),,9:35,4,2.0,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,4:43 PM
408,49,1,502,0021600457,Jefferson  Driving Dunk (4 PTS) (Irving 9 AST),,9:21,4,4.0,4,0,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,94 - 82,-12,,4:46 PM
